orbit center 3 2906 | radius 31082 | height 2267 | sun 140.0
SETUP Active B3 isotropic transport (96 directions, tol 1.00e-14 from cvar; see convergence diagnostics)

t=   0s step 0 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t=  13s step 20 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t=  25s step 40 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t=  38s step 60 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t=  50s step 80 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t=  63s step 100 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t=  75s step 120 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t=  87s step 140 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 100s step 160 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 112s step 180 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 125s step 200 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 137s step 220 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 149s step 240 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 162s step 260 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 174s step 280 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 187s step 300 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 199s step 320 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 211s step 340 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 224s step 360 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 236s step 380 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 249s step 400 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 261s step 420 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 274s step 440 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 286s step 460 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
t= 298s step 480 | S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
--- status histogram
 483  S Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; one frame late; see convergence diagnostics)
RESTORED <Struct 'Vector' (0x0000018D48E6F850) {x: 3.036511, y: 2905.859471, z: 7007.957403}> Active B3 isotropic transport (16 directions, tol 1.00e-06; emissive injection via material; see convergence diagnostics)

